ずっと,ずっと,"- continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way
- much (better, etc.); by far; far and away
- far away; long ago
- direct; straight"
吊革,つりかわ,- strap (to hang onto)
俺,おれ,- I; me
ために,ために,"- for; for the sake of; to one's advantage; in favor of; in favour of; on behalf of
- because of; as a result of"
はーい,はーい,"- understood; I see; OK; okay
- present; here"
着る,きる,"- to wear (in modern Japanese, from the shoulders down); to put on
- to bear (guilt, etc.)"
こういう,こういう,- such; this sort of; like this
を,を,"- indicates direct object of action
- indicates subject of causative expression
- indicates an area traversed
- indicates time (period) over which action takes place
- indicates point of departure or separation of action
- indicates object of desire, like, hate, etc."
左手,ひだりて,"- left hand
- left-hand side; left-hand direction; (on) the left"
もん,もん,"- indicates reason or excuse
- indicates dissatisfaction; indicates desire to be pampered or indulged"
上司,じょうし,- (one's) superior; (one's) boss; the higher-ups
全部,ぜんぶ,- all; entire; whole; altogether
アパート,アパート,"- apartment building; apartment block; apartment house
- apartment"
って,って,"- you said; he said; she said; they said
- if ... then
- do you seriously think that
- I already told you; you should know by now that; of course
- the said ...; said ...
- says that ...
- I hear that ...
- as for the term ...
- as for ..."
電話,でんわ,"- telephone call; phone call
- telephone (device); phone"
あなたたち,あなたたち,- you (plural)
多い,おおい,"- many; numerous; a lot
- large amount of; large quantity of; a lot; much
- frequent; common"
溢れる,あふれる,- to overflow; to brim over; to flood
どうかな,どうかな,"- how about ...?
- I wonder; I don't know"
体,からだ,"- body
- torso; trunk
- build; physique; frame; figure
- health; constitution
- corpse; dead body"
嬉しい,うれしい,"- happy; glad; pleased; delighted; overjoyed
- joyful; delightful; gratifying; pleasant"
きちんと,きちんと,"- properly; accurately; exactly; precisely; regularly
- neatly; tidily; orderly"
快調,かいちょう,- good (condition); going well; fine; smooth
幸せ,しあわせ,- happiness; good fortune; luck; blessing
続く,つづく,"- to continue; to last; to go on
- to continue (without a break); to be unbroken
- to occur again and again
- to lead to; to connect to; to adjoin
- to come after; to follow; to succeed; to rank next to
- to hold out; to keep; to last"
命綱,いのちづな,- lifeline; safety rope; safety tether
力を入れる,ちからをいれる,- to put effort into; to strain; to put strength into; to put forth effort
偶々,たまたま,"- occasionally; once in a while; seldom
- casually; unexpectedly; accidentally; by chance"
ただいま,ただいま,"- here I am; I'm home!
- presently; right away; right now; just now"
けど,けど,- but; however; although
自慢,じまん,- pride; boast
ではある,ではある,- to be (in contrast to something that is not the case)
年齢,ねんれい,- age; years
だんだん,だんだん,"- gradually; by degrees; little by little; more and more; increasingly
- steps; stairs; staircase; terrace"
両手,りょうて,"- both hands; both arms
- ten"
ほど,ほど,"- extent; degree; measure
- limit; bounds
- (span of) time
- (a) distance
- the state of; the status of; the condition of
- about; around; approximately; or so
- as much as ...; to the extent of ...; like ...
- the more ... the more ..."
死ぬ,しぬ,"- to die; to pass away
- to lose spirit; to lose vigor; to look dead
- to cease; to stop"
制服,せいふく,- uniform
終い,しまい,- end; close; finish; termination
寝る,ねる,"- to sleep (lying down)
- to go to bed; to lie in bed
- to lie down
- to sleep (with someone, i.e. have intercourse)
- to lie flat (e.g. of hair)
- to lie idle (of funds, stock, etc.)
- to ferment (of soy sauce, miso, etc.)"
だった,だった,- was; were
その頃,そのころ,- at that time; in those days; at that moment; then
全て,すべて,"- everything; all; the whole
- entirely; completely; wholly; all"
例えば,たとえば,- for example; for instance; e.g.
色々,いろいろ,"- various; all sorts of; variety of
- various colors (colours)"
喋る,しゃべる,- to talk; to chat; to chatter
少し,すこし,"- small quantity; little; few; something
- little while
- short distance"
思い出す,おもいだす,- to recall; to remember; to recollect
そして,そして,- and; and then; thus; and now; and finally
夕食,ゆうしょく,- evening meal; dinner
に,に,"- at (place, time); in; on; during
- to (direction, state); toward; into
- for (purpose)
- because of (reason); for; with
- by; from
- as (i.e. in the role of)
- per; in; for; a (e.g. ""once a month"")
- and; in addition to
- if; although"
どうしたの,どうしたの,"- what's the matter?; what's wrong?
- what happened (to) ...?; what have you done (with) ...?; where is ...?"
眉間,みけん,- brow; glabella; middle forehead; area between the eyebrows
気,げ,- seeming; giving the appearance of; giving one the feeling of
二人とも,ふたりとも,- both (people)
替える,かえる,"- to replace
- to exchange; to interchange
- to substitute"
食事,しょくじ,"- meal; dinner
- diet"
もう,もう,"- now; soon; shortly; before long; presently
- already; yet; by now; (not) anymore
- further; more; again; another; the other
- tsk; dammit; jeez; come on; what the hell"
寒い,さむい,"- cold (e.g. weather)
- uninteresting (esp. joke); lame; dull; weak; corny"
すぎる,すぎる,"- to pass through; to pass by; to go beyond
- to pass (of time); to elapse
- to have expired; to have ended; to be over
- to exceed; to surpass; to be above
- to be no more than ...
- to be excessive; to be too much; to be too ..."
目,め,"- eye; eyeball
- eyesight; sight; vision
- look; stare; gaze; glance
- notice; attention; observation; eyes (of the world, public, etc.)
- an experience
- viewpoint
- discrimination; discernment; judgement; eye (e.g. for quality)
- appearance
- chance to succeed; possibility
- spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave
- grain (of wood)
- eye (of a storm, needle, etc.)
- intersection (on a go board); square (on a chess board)
- dot (on a dice); pip; rolled number
- graduation; division (of a scale)
- tooth (of a saw, comb, etc.)
- ordinal number suffix
- somewhat; -ish
- point (e.g. of change)"
悲しい,かなしい,"- sad; miserable; unhappy; sorrowful
- sad; lamentable; deplorable; grievous"
気をつける,きをつける,- to be careful; to pay attention; to take care
ご飯,ごはん,"- cooked rice
- meal"
初めて,はじめて,"- for the first time
- only after ... is it ...; only when ... do you ...; not until ... do you ...
- first time; (one's) first"
まだ,まだ,"- still; as yet; only
- (not) yet
- more; (more) still
- at least; comparatively; relatively
- unfinished; incomplete; not yet done"
日,ひ,"- day; days
- sun; sunshine; sunlight
- (the) day; daytime; daylight
- date; deadline
- (past) days; time (e.g. of one's childhood)
- case (esp. unfortunate); event"
二つ,ふたつ,- two
見にくる,みにくる,"- to come and see (someone, something); to visit"
作る,つくる,"- to make; to produce; to manufacture; to build; to construct
- to prepare (food); to brew (alcohol)
- to raise; to grow; to cultivate; to train
- to till
- to draw up (a document); to make out; to prepare; to write
- to create (an artistic work, etc.); to compose
- to coin (a phrase); to organize; to organise; to establish; to found
- to have (a child)
- to make up (one's face, etc.)
- to fabricate (an excuse, etc.)
- to give a (false) appearance; to feign (a smile, etc.); to put on a show of emotion
- to form (a line, etc.)
- to set (a record)
- to commit (a sin, etc.)"
へえ,へえ,"- oh, yes?; really?"
叶うことなら,かなうことなら,- if possible; if it is in my power; if it was realistic
お母さん,おかあさん,"- mother; mom; mum; ma
- wife"
与える,あたえる,"- to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award
- to provide; to afford; to offer; to supply
- to assign
- to cause
- to pass (a variable to a function)"
右手,みぎて,"- right hand
- right-hand side; right-hand direction; (on) the right"
飯,めし,"- cooked rice
- meal; food
- one's living; livelihood"
やがて,やがて,"- before long; soon; shortly
- almost; nearly
- finally; in the end; eventually"
料理,りょうり,"- cooking; cookery; cuisine; meal; food; dish; item on a menu
- dealing with something; handling; administration; management"
あなた,あなた,"- you
- dear; honey"
持ち替える,もちかえる,- to change way one holds something; to transfer something from one hand to the other
念願,ねんがん,- one's heart's desire; one's dearest wish
やってくる,やってくる,"- to come along; to come around; to turn up
- to arrive at the present; to get where one is; to have been doing something (for a period of time)"
人間,にんげん,"- human being; human; person; man; mankind; humankind
- character (of a person)"
いく,いく,"- to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach
- to proceed; to take place
- to pass through; to come and go
- to walk
- to die; to pass away
- to do (in a specific way)
- to stream; to flow
- to continue
- to have an orgasm; to come; to cum
- to trip; to get high; to have a drug-induced hallucination"
一人暮らし,ひとりぐらし,- living by oneself; living alone
なる,なる,"- to become; to get; to grow; to turn; to reach; to attain
- to result in; to turn out; to end up; to prove (to be)
- to consist of; to be composed of; to be made up of
- to be completed; to be realized; to succeed; to be attained; to be accomplished
- to change (into); to turn (into); to transform
- to come (to do); to begin (to do); to grow (to do)
- to come to; to amount to; to add up to; to make
- to play (the part of); to act as
- to be used for; to be useful for; to serve as
- to be promoted
- to do ..."
か,か,"- indicates a question
- or; whether or not
- some- (e.g. something, someone)
- hmm; huh
- very
- -al; -ial; -ic; -ical; -ish; -y
- in that way"
で,で,"- at; in
- at; when
- by; with
- and then; so
- and; then
- let me tell you; don't you know"
きっかけに,きっかけに,- with ... as a start; taking advantage of; inspired by
嫌,いや,- disagreeable; detestable; unpleasant; reluctant
まで,まで,"- until (a time); till; to; up to
- to (a place or person); as far as
- to (an extent); up to; so far as; even
- only; merely"
歌う,うたう,"- to sing
- to sing (one's praises in a poem, etc.); to compose a poem; to recite a poem"
小さい,ちいさい,"- small; little; tiny
- slight; below average (in degree, amount, etc.); minor; small
- low (e.g. sound); soft (e.g. voice)
- unimportant; petty; insignificant; trifling; trivial
- young; juvenile"
ずいぶん,ずいぶん,"- very; extremely; surprisingly; considerably; awfully; terribly
- terrible; horrid; contemptible; reprehensible
- remarkable; extraordinary"
な,な,"- don't
- do
- hey; listen; you
- now, ...; well, ...; I tell you!; you know
- wow; ooh"
過ごす,すごす,"- to pass (time); to spend
- to overdo (esp. of one's alcohol consumption); to drink (alcohol)
- to take care of; to support
- to overdo; to do too much
- to ... without acting on it"
大丈夫,だいじょうぶ,"- safe; secure; sound; problem-free; without fear; all right; alright; OK; okay
- certainly; surely; undoubtedly
- no thanks; I'm good; that's alright
- great man; fine figure of a man"
いつも,いつも,"- always; all the time; at all times
- never
- usual; regular; habitual; customary"
女の子,おんなのこ,"- girl; daughter; baby girl
- young woman"
泣く,なく,- to cry; to weep; to sob; to howl
外,そと,"- outside; exterior
- the open (air)
- other place; somewhere else; outside one's group (family, company, etc.)"
あの,あの,- that; those; the
じゃないか,じゃないか,"- isn't it?
- let's ...; why don't we ...; how about we ...; shouldn't we ..."
の,の,"- indicates possessive
- nominalizes verbs and adjectives
- substitutes for ""ga"" in subordinate phrases
- (at sentence-end, falling tone) indicates a confident conclusion
- (at sentence-end) indicates emotional emphasis
- (at sentence-end, rising tone) indicates question"
