ずっと,ずっと,"- continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way
- much (better, etc.); by far; far and away
- far away; long ago
- direct; straight"
人々,ひとびと,"- people; men and women
- each person; everybody"
重い,おもい,"- heavy; weighty
- heavy (feeling); depressed; gloomy; blue; uneasy
- slow; sluggish; lumbering; ponderous; clumsy
- important (position, responsibility, etc.); serious; grave
- serious (punishment, illness, etc.); severe; critical
- solid; established; dignified; sensible"
こもる,こもる,"- to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell)
- to be filled with (emotion, enthusiasm, etc.)
- to fill the room (of a gas, smell, etc.); to be heavy with (e.g. smoke); to be stuffy; to be dense
- to be muffled (e.g. voice)
- to hold (a castle, fortress, etc.)
- to confine oneself in a temple to pray"
こいつ,こいつ,"- he; she; this fellow; this guy; this person
- this; this one; this thing
- Hey, you!; You bastard!; Damn you!"
自然体,しぜんたい,"- natural posture (esp. in judo); natural stance
- natural attitude; relaxed manner; calm manner"
嵐,あらし,"- storm; tempest
- uproar; hullabaloo; storm (e.g. of protest); winds (e.g. of change)"
巨人,きょじん,"- giant; great man
- Tokyo Giants (baseball team)"
場所,ばしょ,"- place; location; spot; position
- room; space
- basho; wrestling tournament"
貝,かい,"- shellfish
- seashell; shell"
急,きゅう,"- sudden; abrupt; unexpected
- urgent; pressing
- steep; sharp; precipitous
- rapid; swift; fast
- emergency; crisis; danger
- urgency; hurrying; haste
- (in gagaku or noh) end of a song"
水,みず,"- water (esp. cool, fresh water, e.g. drinking water)
- fluid (esp. in an animal tissue); liquid
- flood; floodwaters
- water offered to wrestlers just prior to a bout
- break granted to wrestlers engaged in a prolonged bout"
そういえば,そういえば,- now that you mention it; come to think of it; that reminds me; on that subject; speaking of which
話しかける,はなしかける,"- to address (someone); to accost a person; to talk (to someone)
- to begin to talk; to start a conversation"
文字,もじ,"- letter (of alphabet); character
- writing"
もし,もし,- if; in case; supposing
連,れん,"- two reams (of paper); 1000 sheets (of paper)
- stanza; verse
- tribe (in taxonomy)
- forecast (bet); bet which predicts the top 2 finishers (i.e. quinella or perfecta bet)
- party; company; group; set
- things strung in a line, e.g. pearls, dried fish, spans of a bridge, etc.
- falcon"
何時間,なんじかん,- how many hours?
おい,おい,"- hey!; oi!; ahoy!
- I; me"
見つかる,みつかる,- to be found; to be discovered
どうせ,どうせ,"- anyhow; in any case; at any rate; after all; at all; no matter what
- at best; at most"
ボコボコ,ボコボコ,"- with a burble
- hollow (sounding)
- holey; full of holes or dents; lumpy; bumpy
- viciously beating; hitting and kicking repeatedly"
便利,べんり,- convenient; handy; useful
しゃ,しゃ,- car; vehicle
ギャンブル,ギャンブル,- gambling
返す,かえす,"- to return (something); to restore; to put back
- to turn over; to turn upside down; to overturn
- to pay back; to retaliate; to reciprocate
- to respond (with); to retort; to reply; to say back
- to do ... back (e.g. speak back, throw back)
- to do again; to do repeatedly"
何だと,なんだと,- what did you just say (to me)?; what's that?
寝巻き,ねまき,- nightclothes; nightwear; sleepwear; pyjamas; pajamas; nightgown; nightdress
前回,ぜんかい,- previous time; last time; previous installment; previous instalment; previous session
お願いだから,おねがいだから,- please; I beg you; for mercy's sake
勝ち,かち,- win; victory
しゃする,しゃする,"- to thank
- to apologize; to apologise
- to say farewell; to retreat; to retire
- to refuse
- to pay back; to settle old scores"
鳶,とび,"- black kite (Milvus migrans)
- construction worker; scaffold erector; firefighter
- fire hook
- reddish brown
- Inverness cape
- filcher; sneak thief; pilferer"
すいません,すいません,- sorry; excuse me; thank you
べー,べー,- bleh
ぐるっと,ぐるっと,"- turning round; going around; turning about; rotating
- surrounding; encircling"
帰って来る,かえってくる,- to return; to come back
子供,こども,- child
取り込む,とりこむ,"- to take in; to bring in; to adopt (e.g. behaviour); to introduce
- to capture (e.g. image); to import
- to win over; to please; to curry favour with; to flatter
- to defraud of; to swindle; to embezzle
- to be busy; to be in confusion; to have trouble"
所持金,しょじきん,- money in one's possession
人生,じんせい,- (one's) life
一週間,いっしゅうかん,- one week
ことになる,ことになる,"- to have been decided (so) that; to have been arranged (so) that
- to be the result (of); to be the outcome
- to be the reason (for)"
ダダ漏れ,ダダもれ,- big leakage; uncontained leak
俺,おれ,- I; me
無人島,むじんとう,- uninhabited island; desert island
テクニック,テクニック,- technique
